OKINAWA BROWN SUGAR BOBA MILK,REDVELVET LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,
KOREAN GARLIC BREAD,GREENTEA MATCHA LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,
GREENTEA MATCHA LATTE,STRAWBERRY YAKULT,,,,,,
BOMBOLONI,LUMOS KOPI SUSU SIGNATURE,,,,,,
COOKIES AND CREAM LATTE,,,,,,,
CAFE LATTE HOT,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAFE LATTE ICE,,,,,,,
CAFE LATTE ICE,,,,,,,
COOKIES AND CREAM LATTE,LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAFE LATTE HOT,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CARAMEL LATTE ICE,LUMOS KOPI SUSU SIGNATURE,,,,,,
CHOCO LATTE,,,,,,,
REDVELVET LATTE,KLEPON LATTE,COOKIES AND CREAM LATTE,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAFE LATTE HOT,,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,,,,,,,
LYCHEE YAKULT,,,,,,,
BANANA LATTE,MANUAL BREW JAPANESE ICE DRIP,,,,,,
LYCHEE YAKULT,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CAFE LATTE ICE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
AVOCADO PRESSO,LUMOS KOPI SUSU SIGNATURE,,,,,,
LONG BLACK ICE,,,,,,,
CAPPUCINO HOT,,,,,,,
LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,,,
LYCHEE YAKULT,LUMOS KOPI SUSU SIGNATURE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
CHOCO LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,,
CAPPUCINO HOT,LUMOS KOPI SUSU SIGNATURE,,,,,,
CARAMEL MACCHIATO,,,,,,,
HONEY CITRON TEA,,,,,,,
KOREAN GARLIC BREAD,HONEY CITRON TEA,AVOCADO PRESSO,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
